ID,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Distance,Fuel,Brakes,Speed,Range,RPM,Accelerator pedal position,Engine fuel rate,Days,Trips,TripperDay,DistanceperTrip,TripsinDay,DistanceinDay,TripsinNight,DistanceinNight,TripsinWeekdays,DistanceinWeekdays,TripsinWeekends,DistanceinWeekends,Trips<15m,15m<Trips<30m,30m<Trips<1h,1h<Trips<2h,Trips>2h
10019419489,164,68,400,825,2955.3,1221.34,3839,28.11814982,1.24912269,941.9834478,21.09369971,11.68091266,6,35,5.833333333,84.43714286,17,875.8,18,2079.5,24,1819.2,11,1136.1,7,3,1,7,17
10019436951,0,5,85,142,3303,1139.43,1548,39.28150912,15.26370196,828.7089135,15.01072759,13.67787556,6,40,6.666666667,82.575,33,1411.8,7,1891.2,28,1489.3,12,1813.7,19,6,4,3,8
10019436955,0,0,44,22,314.5,46.69,185,11.7268681,2.270932543,232.9704566,0.899552372,1.867300806,1,4,4,78.625,2,2.3,2,312.2,4,314.5,0,0,2,0,0,0,2
10019437011,0,0,80,47,340.8,52.01,328,16.03168196,2.551178179,317.9456827,0.186926391,2.807791721,1,8,8,42.6,5,141.5,3,199.3,3,53.6,5,287.2,4,1,0,1,2
10020436612,0,1,243,415,3440.7,1191.57,4365,35.9934216,13.99028042,1034.72256,17.87232,12.351596,6,48,8,71.68125,32,1619.6,16,1821.1,30,2714.1,18,726.6,13,3,7,10,15
10020437647,35,22,158,127,696.5,279.16,412,31.10424234,2.499647184,751.0211986,18.04040827,12.21575504,4,20,5,34.825,19,400.5,1,296,12,610.6,8,85.9,13,1,2,2,2
10020438503,11,29,52,117,749.2,294.02,472,28.91200318,2.500006422,683.7266473,15.13098703,10.51353533,5,39,7.8,19.21025641,30,736.3,9,12.9,31,645.9,8,103.3,25,5,4,3,2
10020439582,1,2,12,66,745.6,259.9,582,26.76692574,2.499786379,611.5200809,13.4934412,9.162164114,4,34,8.5,21.92941176,32,740,2,5.6,27,642.5,7,103.1,19,6,4,3,2
10020439692,29,42,177,227,1351.1,539.81,1117,31.96334913,7.298905715,869.4237318,21.23608917,14.30099175,5,37,7.4,36.51621622,30,1165.2,7,185.9,28,728.6,9,622.5,17,4,8,3,5
10020442466,18,26,229,361,3059.6,1373.58,2691,39.64384905,11.27984977,963.3282282,28.54680851,17.54868397,6,47,7.833333333,65.09787234,24,1051.9,23,2007.7,31,2393.5,16,666.1,18,3,6,5,15
10020442627,19,29,87,396,3156.3,1349.59,2557,40.06561741,11.46493675,918.0836914,22.44132262,15.62658322,6,71,11.83333333,44.45492958,49,2094.7,22,1061.6,51,2316,20,840.3,37,5,11,5,13
10020442686,142,92,156,397,3156,1253.28,2172,47.54589104,12.82338674,960.4320599,27.73874539,17.9595344,6,44,7.333333333,71.72727273,32,2295.6,12,860.4,32,2410.1,12,745.9,18,5,5,3,13
10020443234,19,42,161,388,3167.5,1374.49,2967,40.60841538,11.46483043,931.8866063,25.31428054,15.98164253,6,73,12.16666667,43.39041096,46,2102.5,27,1065,52,2323.1,21,844.4,31,11,10,8,13
10020443365,54,396,442,466,6221,1924.55,5939,57.02883918,21.86736167,1042.457468,29.00763541,17.25074565,6,38,6.333333333,163.7105263,21,2380.3,17,3840.7,24,4488.6,14,1732.4,8,4,7,3,16
10020443429,188,209,225,194,2317.2,900.51,2006,47.36804786,10.3867163,965.5500065,26.44437508,16.43490051,5,20,4,115.86,14,1134.1,6,1183.1,19,2317.1,1,0.1,3,4,2,2,9
